productId_type,productId_value,conditionDisplayName,conditionId,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,feedbackRatingStar,feedbackScore,positiveFeedbackPercent,topRatedSeller,value,sellingState,endHour,endWeekday
1,205,5,4,41,1,0,0,0,1,4,1,1,5,1941,100.0,1,582.0,0,0,2
1,205,3,1,41,1,0,0,0,0,4,1,1,7,220,98.6,0,150.0,0,0,2
0,85,5,4,41,1,0,0,0,1,3,0,1,5,2990,100.0,1,1599.0,1,0,2
1,205,5,4,41,0,0,0,0,0,4,1,0,7,164,96.2,0,0.0,0,0,2
1,205,5,4,41,1,0,1,0,0,3,0,1,5,2064,100.0,0,299.0,0,0,2
1,205,5,4,41,1,0,0,0,1,4,1,1,7,369,100.0,0,617.49,0,0,2
1,205,5,4,41,1,0,0,0,0,4,1,0,2,4,100.0,0,639.99,0,0,2
1,205,5,4,41,1,0,0,0,1,4,1,0,3,522,98.2,0,249.99,0,0,2
1,205,5,4,41,1,0,0,0,1,4,1,1,7,286,100.0,0,650.0,1,0,2
0,46,5,4,41,1,0,0,0,1,4,1,1,5,1264,100.0,1,1199.0,1,0,2
1,205,5,4,41,1,0,0,0,0,4,1,1,3,908,100.0,1,900.0,0,0,2
0,175,5,4,41,1,0,1,0,0,3,0,0,7,106,100.0,0,380.0,1,0,2
1,205,4,3,41,1,0,1,0,1,0,0,1,6,160389,99.1,1,519.99,0,0,2
0,170,0,5,41,0,0,0,0,1,0,0,0,8,33968,99.9,1,0.0,0,0,2
0,86,5,4,41,0,0,0,0,0,0,0,0,2,9,100.0,0,0.0,0,0,2
1,205,5,4,41,1,0,1,0,0,2,0,1,9,34,100.0,0,800.0,0,0,2
1,205,5,4,41,1,0,1,0,1,4,1,0,7,187,97.4,0,899.0,1,0,2
0,24,0,5,41,1,0,0,0,1,4,1,1,5,2026,98.8,1,289.0,1,0,2
1,205,5,4,41,0,0,0,0,1,0,0,0,2,8,100.0,0,0.0,0,0,2
0,201,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,0,2
1,205,2,0,41,1,0,1,0,0,4,1,1,3,722,98.7,0,1799.0,1,0,2
0,165,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,0,2
0,183,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,0,2
0,100,2,0,41,1,0,0,0,0,0,0,0,7,104,100.0,0,1695.0,0,0,2
0,204,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,0,2
1,205,2,0,41,0,0,0,0,1,4,1,0,2,1,100.0,0,0.0,0,0,2
0,46,5,4,41,0,0,0,0,1,0,0,0,9,17,0.0,0,0.0,0,0,2
0,43,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
0,118,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
0,195,5,4,41,1,0,0,0,0,3,0,1,5,4213,100.0,1,299.0,0,23,1
0,101,5,4,41,1,0,0,0,0,3,0,1,10,18224,99.9,1,1025.0,1,23,1
0,32,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
1,205,0,5,41,0,0,0,0,1,4,1,0,2,1,0.0,0,0.0,0,23,1
1,205,5,4,41,1,0,0,0,1,3,0,0,7,242,99.4,0,750.0,0,23,1
0,32,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
0,132,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
1,205,0,5,41,0,0,0,0,1,4,1,0,2,1,0.0,0,0.0,0,23,1
0,32,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
0,204,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
0,30,5,4,41,1,0,0,0,0,0,0,0,2,0,0.0,0,429.99,1,23,1
0,48,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
1,205,5,4,41,1,0,0,0,1,4,1,1,5,2590,100.0,0,799.0,0,23,1
0,201,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
0,90,4,3,41,1,0,0,0,1,2,0,1,0,94,100.0,1,899.0,1,23,1
0,84,5,4,41,0,1,0,0,1,4,1,0,2,5,0.0,0,0.0,0,23,1
0,48,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
1,205,5,4,41,0,0,0,0,1,2,0,0,2,0,0.0,0,0.0,0,23,1
0,48,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
0,89,2,0,41,1,0,0,0,1,4,1,0,2,0,0.0,0,200.0,0,23,1
0,32,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
0,34,5,4,41,0,0,0,0,1,0,0,1,0,71,100.0,0,0.0,0,23,1
0,204,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
0,14,5,4,41,1,0,0,0,1,4,1,1,8,28565,99.9,1,455.05,0,23,1
1,205,5,4,41,0,1,0,0,0,2,0,0,7,199,100.0,0,0.0,0,23,1
0,43,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
0,32,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
0,5,5,4,41,1,0,0,0,1,4,1,1,8,28565,99.9,1,313.49,0,23,1
1,205,5,4,41,1,0,1,0,1,0,0,0,0,96,100.0,0,850.0,1,23,1
0,43,0,5,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,23,1
1,205,3,1,41,1,0,0,0,0,2,0,1,7,220,98.6,0,120.0,1,23,1
0,53,5,4,41,0,1,0,0,1,4,1,0,9,30,0.0,0,0.0,0,23,1
1,205,5,4,41,1,0,0,0,1,4,1,1,7,286,100.0,0,650.0,1,23,1
0,7,5,4,41,1,0,1,0,0,2,0,0,2,4,100.0,0,550.0,0,23,1
0,40,4,3,41,1,0,1,0,1,0,0,1,5,1660,100.0,1,699.0,0,23,1
1,205,5,4,41,1,0,0,0,1,0,0,1,10,11453,99.7,1,1429.99,1,23,1
1,205,5,4,41,1,0,0,0,1,4,1,1,0,72,98.6,0,248.88,0,23,1
0,47,5,4,41,0,1,0,0,1,4,1,0,2,1,66.7,0,0.0,0,23,1
1,205,5,4,41,1,0,0,0,1,3,0,1,5,2120,100.0,1,1709.98,1,23,1
0,98,2,0,41,0,0,0,0,1,1,0,0,2,0,0.0,0,0.0,1,23,1
1,205,5,4,41,1,0,0,0,0,4,1,1,8,47046,99.6,1,679.99,0,23,1
0,24,5,4,41,1,0,1,0,1,2,0,0,9,11,100.0,0,395.0,0,23,1
1,205,5,4,41,1,0,0,0,1,3,0,1,3,983,99.7,1,329.95,1,23,1
0,101,3,1,41,1,0,0,0,0,4,1,1,8,37519,98.8,0,1019.99,0,23,1
0,98,2,0,41,1,0,0,0,1,4,1,1,3,673,100.0,1,1329.0,0,23,1
0,49,5,4,41,0,0,0,0,0,0,0,1,10,12661,99.0,0,0.0,0,23,1
0,30,5,4,41,0,0,0,0,1,2,0,0,7,148,100.0,0,0.0,0,23,1
0,101,5,4,41,1,0,0,0,0,4,1,1,5,1200,100.0,1,800.0,0,22,1
1,205,5,4,41,0,0,0,0,1,0,0,0,0,50,100.0,0,0.0,0,22,1
1,205,5,4,41,1,0,0,0,1,0,0,1,10,11453,99.7,1,1169.95,1,22,1
1,205,5,4,41,0,0,0,0,1,3,0,1,7,305,100.0,0,0.0,0,22,1
1,205,5,4,41,0,1,0,0,1,0,0,0,7,138,100.0,0,0.0,1,22,1
1,205,5,4,41,1,0,0,0,0,4,1,1,5,1840,99.6,1,1179.0,0,22,1
1,205,5,4,41,1,0,1,0,1,4,1,1,7,214,100.0,0,399.0,1,22,1
0,40,5,4,41,1,0,0,0,1,3,0,1,5,3633,99.5,0,674.95,1,22,1
1,205,5,4,41,1,0,1,0,0,4,1,1,3,694,100.0,1,1099.0,1,22,1
0,43,2,0,41,1,0,0,0,1,4,1,1,5,2724,99.4,1,889.99,0,22,1
1,205,5,4,41,1,0,0,0,0,3,0,1,3,743,100.0,0,789.0,0,22,1
0,42,5,4,41,1,0,0,0,1,4,1,0,7,333,100.0,0,800.0,1,22,1
1,205,5,4,41,0,0,0,0,0,4,1,1,3,694,100.0,1,0.0,0,22,1
0,165,5,4,41,0,0,0,0,0,2,0,0,0,80,0.0,0,0.0,0,22,1
0,43,2,0,41,1,0,1,0,1,2,0,1,5,1964,99.6,0,1099.99,0,22,1
0,43,1,2,41,1,0,0,0,0,3,0,1,3,742,99.7,1,1399.0,1,22,1
0,67,5,4,41,1,0,1,0,1,3,0,1,5,1380,99.2,0,999.0,0,22,1
0,167,5,4,41,0,0,0,0,1,0,0,0,2,4,100.0,0,0.0,0,22,1
0,43,1,2,41,1,0,0,0,0,3,0,1,3,742,99.7,1,1399.0,1,22,1
1,205,0,5,41,1,0,1,0,0,2,0,0,3,758,99.4,1,249.0,0,22,1
1,205,5,4,41,1,0,1,0,1,4,1,0,7,491,100.0,0,1650.0,0,22,1
0,84,5,4,41,1,0,0,0,0,3,0,1,7,221,100.0,1,739.0,0,22,1
0,101,5,4,41,1,0,1,0,1,0,0,0,7,212,100.0,0,1025.0,1,22,1
1,205,5,4,41,0,0,0,0,1,0,0,0,9,14,100.0,0,0.0,0,22,1
1,205,5,4,41,1,0,1,0,0,2,0,0,1,7827,100.0,1,265.0,0,22,1
0,43,1,2,41,1,0,0,0,0,2,0,1,3,742,99.7,1,940.0,0,22,1
0,178,5,4,41,0,0,0,0,0,0,0,0,7,138,100.0,0,0.0,0,22,1
1,205,5,4,41,0,0,0,0,0,2,0,1,10,11166,100.0,1,0.0,0,22,1
1,205,5,4,41,1,0,0,0,0,0,0,0,7,112,100.0,0,1499.0,1,22,1
1,205,5,4,41,1,0,0,0,1,4,1,0,7,323,100.0,0,499.99,0,22,1
1,205,5,4,41,1,0,1,0,1,0,0,1,2,4,100.0,0,850.75,1,22,1
1,205,5,4,41,0,0,0,0,1,4,1,0,7,327,100.0,0,0.0,0,22,1
1,205,0,5,41,1,0,0,0,1,3,0,0,5,2837,99.4,1,199.0,0,22,1
1,205,0,5,41,1,0,0,0,1,3,0,0,7,409,100.0,0,165.0,0,22,1
0,200,0,5,41,1,0,0,0,0,3,0,0,5,2546,99.8,1,189.5,0,22,1
1,205,0,5,41,1,0,0,0,1,4,1,1,5,2760,98.9,1,199.99,0,22,1
0,103,2,0,41,1,0,1,0,0,4,1,0,7,131,100.0,0,2699.99,1,22,1
1,205,5,4,41,1,0,1,0,1,2,0,1,9,31,100.0,0,649.0,1,22,1
1,205,0,5,41,0,0,0,0,1,3,0,0,7,369,100.0,0,0.0,0,22,1
0,143,5,4,41,1,0,1,0,1,2,0,0,7,275,100.0,0,375.0,1,22,1
1,205,5,4,41,1,0,0,0,0,3,0,1,3,740,100.0,0,1289.0,1,22,1
1,205,0,5,41,0,0,0,0,1,0,0,0,0,83,100.0,0,0.0,0,22,1
1,205,5,4,41,0,0,0,0,0,4,1,1,3,694,100.0,1,0.0,0,22,1
1,205,5,4,41,1,0,0,0,1,0,0,1,7,345,100.0,0,545.0,0,22,1
1,205,4,3,41,1,0,1,0,1,4,1,1,3,514,100.0,1,795.0,0,22,1
1,205,0,5,41,0,0,0,0,1,0,0,0,9,19,100.0,0,0.0,0,22,1
1,205,5,4,41,1,0,0,0,1,4,1,1,5,2760,98.9,1,399.99,0,22,1
1,205,0,5,41,0,1,0,0,0,2,0,0,0,70,100.0,0,0.0,0,21,1
0,98,2,0,41,1,0,0,0,0,4,1,1,3,739,99.7,1,1475.0,0,21,1
0,204,5,4,41,0,0,0,0,1,3,0,0,9,48,100.0,0,0.0,0,21,1
0,183,0,5,41,1,0,0,0,0,3,0,0,7,450,100.0,0,150.0,0,21,1
1,205,5,4,41,1,0,0,0,0,2,0,1,5,2013,99.5,1,499.99,1,21,1
0,43,0,5,41,0,0,0,0,1,0,0,0,9,27,0.0,0,0.0,0,21,1
1,205,0,5,41,1,0,0,0,0,2,0,1,1,5872,100.0,1,79.99,0,21,1
1,205,0,5,41,1,0,1,0,0,0,0,0,5,3596,99.8,1,79.99,0,21,1
1,205,0,5,41,1,0,0,0,1,2,0,0,5,3760,99.6,0,209.99,1,21,1
0,189,4,3,41,0,1,0,0,1,0,0,0,0,71,100.0,0,0.0,0,21,1
1,205,5,4,41,0,0,0,0,0,4,1,1,3,694,100.0,1,0.0,1,21,1
1,205,5,4,41,0,0,0,0,1,0,0,0,9,18,94.4,0,0.0,0,21,1
1,205,5,4,41,1,0,0,0,0,3,0,1,10,18222,99.9,1,925.0,1,21,1
1,205,5,4,41,1,0,1,0,1,3,0,0,7,184,100.0,0,500.0,1,21,1
1,205,0,5,41,1,0,1,0,0,0,0,0,5,3595,99.8,1,69.99,0,21,1
0,32,5,4,41,1,0,0,0,1,3,0,1,7,100,100.0,1,685.0,1,21,1
0,84,1,2,41,1,0,0,0,1,4,1,0,7,100,100.0,0,970.0,0,21,1
0,42,5,4,41,1,0,1,0,1,4,1,1,9,44,100.0,0,1100.0,0,21,1
0,35,5,4,41,1,0,0,0,1,3,0,1,5,2120,100.0,1,1979.95,1,21,1
0,101,5,4,41,1,0,0,0,0,3,0,0,7,351,100.0,0,870.0,0,21,1
1,205,0,5,41,1,0,1,0,0,0,0,1,3,966,100.0,0,499.0,1,21,1
0,13,0,5,41,0,0,0,0,0,2,0,0,9,38,100.0,0,0.0,0,21,1
0,43,5,4,41,1,0,1,0,1,3,0,1,7,250,100.0,0,679.0,1,21,1
1,205,5,4,41,1,0,0,0,0,3,0,0,0,51,100.0,0,685.0,1,21,1
0,35,0,5,41,1,0,0,0,0,3,0,0,7,351,100.0,0,599.95,0,21,1
0,40,0,5,41,0,1,0,0,1,0,0,0,7,160,100.0,0,0.0,0,21,1
0,85,5,4,41,1,0,0,0,1,0,0,1,9,33,100.0,0,1449.99,1,21,1
0,43,3,1,41,1,0,0,0,1,0,0,0,2,3,100.0,0,999.0,1,21,1
0,165,5,4,41,0,0,0,0,0,2,0,0,2,0,0.0,0,0.0,0,21,1
1,205,5,4,41,1,0,1,0,1,0,0,0,2,1,100.0,0,749.99,1,21,1
1,205,5,4,41,1,0,0,0,1,2,0,0,7,192,100.0,0,500.0,1,21,1
1,205,5,4,41,0,0,0,0,0,4,1,1,3,694,100.0,1,0.0,1,21,1
0,24,5,4,41,0,0,0,0,1,3,0,0,7,369,100.0,0,0.0,0,21,1
1,205,5,4,41,1,0,1,0,0,0,0,0,7,128,100.0,0,430.0,0,21,1
0,195,5,4,41,0,0,0,0,1,2,0,1,6,241810,99.9,1,0.0,0,21,1
0,33,5,4,41,0,0,0,0,1,3,0,0,9,17,100.0,0,0.0,0,21,1
0,203,5,4,41,0,0,0,0,1,2,0,1,6,241810,99.9,1,0.0,0,21,1
1,205,5,4,41,0,0,0,0,1,2,0,1,6,241810,99.9,1,0.0,0,21,1
1,205,5,4,41,1,0,0,0,1,4,1,1,5,1940,100.0,1,797.0,0,21,1
1,205,5,4,41,1,0,1,0,1,3,0,1,7,165,100.0,0,719.99,0,21,1
1,205,5,4,41,0,0,0,0,0,4,1,1,3,694,100.0,1,0.0,0,21,1
1,205,4,3,41,1,0,0,0,0,4,1,0,7,412,99.1,0,245.0,1,21,1
1,205,5,4,41,1,0,1,0,0,3,0,0,5,2064,100.0,0,250.0,0,21,1
1,205,5,4,41,1,0,1,0,0,3,0,0,5,2064,100.0,0,250.0,0,21,1
1,205,5,4,41,1,0,0,0,1,4,1,1,9,27,100.0,0,705.0,1,21,1
0,195,1,2,41,1,0,1,0,1,4,1,0,7,144,99.1,0,480.0,1,21,1
1,205,4,3,41,1,0,0,0,1,0,0,0,2,0,0.0,0,700.0,0,21,1
1,205,4,3,41,1,0,1,0,0,3,0,1,5,2063,100.0,0,530.0,0,21,1
1,205,5,4,41,0,0,0,0,1,0,0,0,9,46,100.0,0,0.0,0,21,1
0,49,5,4,41,0,0,0,0,0,0,0,1,10,12661,99.0,0,0.0,0,21,1
1,205,5,4,41,0,0,0,0,0,0,0,1,10,12661,99.0,0,0.0,0,21,1
1,205,5,4,41,1,0,0,0,1,2,0,0,5,1652,100.0,0,2649.95,1,20,1
0,83,5,4,41,1,0,1,0,1,3,0,0,3,820,100.0,1,999.0,1,20,1
0,100,2,0,41,1,0,1,0,0,2,0,1,10,20677,99.7,1,1530.0,0,20,1
0,98,2,0,41,1,0,0,0,1,3,0,1,3,622,100.0,0,1299.0,0,20,1
0,24,5,4,41,0,1,0,0,1,2,0,0,2,0,0.0,0,0.0,0,20,1
0,49,5,4,41,1,0,0,0,1,4,1,1,3,920,100.0,0,1169.0,1,20,1
0,49,5,4,41,1,0,0,0,1,4,1,1,3,920,100.0,0,1195.0,1,20,1
0,195,5,4,41,0,0,0,0,1,0,0,0,9,23,100.0,0,0.0,0,20,1
1,205,5,4,41,0,0,0,0,0,4,1,1,3,694,100.0,1,0.0,1,20,1
1,205,5,4,41,0,0,0,0,1,0,0,1,10,20626,99.6,1,0.0,0,20,1
0,49,5,4,41,0,1,0,0,1,3,0,1,7,172,100.0,0,0.0,1,20,1
1,205,5,4,41,1,0,1,0,1,4,1,0,0,55,100.0,0,650.0,0,20,1
1,205,5,4,41,1,0,1,0,1,0,0,0,3,505,100.0,0,985.0,1,20,1
0,45,5,4,41,0,0,0,0,0,4,1,1,3,694,100.0,1,0.0,1,20,1
