productId_type,productId_value,conditionDisplayName,conditionId,endTime,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,feedbackRatingStar,feedbackScore,positiveFeedbackPercent,topRatedSeller,value,sellingState,endHour,endWeekday
1,205,5,4,2016-05-04T00:36:37.000Z,41,1,0,0,0,1,4,1,1,5,1941,100.0,1,582.0,0,0,2
1,205,3,1,2016-05-04T00:34:35.000Z,41,1,0,0,0,0,4,1,1,7,220,98.6,0,150.0,0,0,2
0,85,5,4,2016-05-04T00:31:40.000Z,41,1,0,0,0,1,3,0,1,5,2990,100.0,1,1599.0,1,0,2
1,205,5,4,2016-05-04T00:31:11.000Z,41,0,0,0,0,0,4,1,0,7,164,96.2,0,0.0,0,0,2
1,205,5,4,2016-05-04T00:31:02.000Z,41,1,0,1,0,0,3,0,1,5,2064,100.0,0,299.0,0,0,2
1,205,5,4,2016-05-04T00:29:21.000Z,41,1,0,0,0,1,4,1,1,7,369,100.0,0,617.49,0,0,2
1,205,5,4,2016-05-04T00:27:10.000Z,41,1,0,0,0,0,4,1,0,2,4,100.0,0,639.99,0,0,2
1,205,5,4,2016-05-04T00:25:18.000Z,41,1,0,0,0,1,4,1,0,3,522,98.2,0,249.99,0,0,2
1,205,5,4,2016-05-04T00:24:00.000Z,41,1,0,0,0,1,4,1,1,7,286,100.0,0,650.0,1,0,2
0,46,5,4,2016-05-04T00:20:51.000Z,41,1,0,0,0,1,4,1,1,5,1264,100.0,1,1199.0,1,0,2
1,205,5,4,2016-05-04T00:19:31.000Z,41,1,0,0,0,0,4,1,1,3,908,100.0,1,900.0,0,0,2
0,175,5,4,2016-05-04T00:16:43.000Z,41,1,0,1,0,0,3,0,0,7,106,100.0,0,380.0,1,0,2
1,205,4,3,2016-05-04T00:16:10.000Z,41,1,0,1,0,1,0,0,1,6,160389,99.1,1,519.99,0,0,2
0,170,0,5,2016-05-04T00:15:09.000Z,41,0,0,0,0,1,0,0,0,8,33968,99.9,1,0.0,0,0,2
0,86,5,4,2016-05-04T00:12:43.000Z,41,0,0,0,0,0,0,0,0,2,9,100.0,0,0.0,0,0,2
1,205,5,4,2016-05-04T00:11:57.000Z,41,1,0,1,0,0,2,0,1,9,34,100.0,0,800.0,0,0,2
1,205,5,4,2016-05-04T00:10:33.000Z,41,1,0,1,0,1,4,1,0,7,187,97.4,0,899.0,1,0,2
0,24,0,5,2016-05-04T00:09:20.000Z,41,1,0,0,0,1,4,1,1,5,2026,98.8,1,289.0,1,0,2
1,205,5,4,2016-05-04T00:09:05.000Z,41,0,0,0,0,1,0,0,0,2,8,100.0,0,0.0,0,0,2
0,201,0,5,2016-05-04T00:06:11.000Z,41,0,0,0,0,1,0,0,1,5,3405,100.0,1,0.0,0,0,2
