bestOfferEnabled,bidCount,buyItNowAvailable,categoryId,categoryName,conditionDisplayName,conditionId,country,endTime,expeditedShipping,gift,itemId,listingType,paymentMethod,postalCode,productId_type,productId_value,returnsAccepted,sellingState,shippingType,startTime,title,topRatedListing,value
False,0,True,111422,Apple Laptops,Used,3000,US,2016-04-18T14:44:26.000Z,True,False,131785378233,AuctionWithBIN,PayPal,10467,ReferenceID,217091238,False,EndedWithoutSales,Calculated,2016-04-19T02:42:14.000Z,"Apple MacBook Pro A1502 13.3"" Laptop - MF839LL/A (March, 2015)",False,200.0
False,0,True,111422,Apple Laptops,Manufacturer refurbished,2000,US,2016-04-18T04:53:51.000Z,True,False,111972574408,AuctionWithBIN,PayPal,80235,ReferenceID,115204077,False,EndedWithoutSales,Free,2016-04-18T15:40:06.000Z,"Apple MacBook Pro 15.4"" Laptop with Retina Display(30% OFF!)",False,699.99
False,1,False,111422,Apple Laptops,Used,3000,US,2016-04-18T15:10:05.000Z,False,False,262393731634,Auction,PayPal,95112,ReferenceID,108796569,False,EndedWithSales,Flat,2016-04-18T15:02:11.000Z,"Apple MacBook Pro A1278 13.3"" Laptop (February, 2011) - Customized",False,359.99
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-18T15:03:00.000Z,False,False,141963669313,StoreInventory,PayPal,NA,NA,NA,True,EndedWithSales,FreePickup,2016-04-18T14:59:57.000Z,Apple MacBook Pro A1286 Core i7 2.00 GHz 4GB RAM 500GB HDD 48517BM,False,349.99
False,NA,False,111422,Apple Laptops,Manufacturer refurbished,2000,US,2016-04-18T15:06:32.000Z,True,False,252359969453,FixedPrice,PayPal,10012,NA,NA,False,EndedWithSales,Calculated,2016-04-18T14:41:11.000Z,"Apple MacBook Pro 15""",False,2000.0
True,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-18T15:03:14.000Z,False,False,381604691289,FixedPrice,PayPal,34461,NA,NA,True,EndedWithSales,Free,2016-04-18T14:34:41.000Z,"Apple MacBook Pro A1278 (2009) 13"" 2.53GHz Core 2 Duo | 4gb | 320gb | El Capitan",False,259.99
True,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-18T14:41:50.000Z,False,False,381604691285,FixedPrice,PayPal,34461,NA,NA,True,EndedWithSales,Free,2016-04-18T14:34:40.000Z,"Apple MacBook Pro A1297 (2009) 17"" 2.8GHz Core 2 Duo | 4gb | 250gb | El Capitan",False,239.99
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-18T14:38:54.000Z,False,False,351711100580,StoreInventory,PayPal,NA,NA,NA,True,EndedWithSales,FreePickup,2016-04-18T14:30:06.000Z,Apple MacBook Pro A1286 Core i7 2.00 GHz 4GB RAM 500GB HDD 48517BM,True,349.99
True,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-18T14:21:21.000Z,True,False,191851057719,FixedPrice,PayPal,45424,ReferenceID,108796569,False,EndedWithSales,Flat,2016-04-18T14:18:29.000Z,"Apple MacBook Pro A1278 13.3"" Laptop (February, 2011) - Customized",False,700.0
True,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-18T14:14:20.000Z,True,False,191851049892,FixedPrice,PayPal,45424,ReferenceID,108796569,False,EndedWithSales,Flat,2016-04-18T14:08:58.000Z,"Apple MacBook Pro A1278 13.3"" Laptop (February, 2011) - Customized",False,700.0
True,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-18T14:35:10.000Z,False,False,162042260726,FixedPrice,PayPal,14623,NA,NA,False,EndedWithSales,Flat,2016-04-18T14:04:43.000Z,MacBook Pro 17 i7 16GB 1TB,False,1000.0
False,1,True,111422,Apple Laptops,Manufacturer refurbished,2000,US,2016-04-18T02:14:58.000Z,True,False,111972517637,AuctionWithBIN,PayPal,80235,ReferenceID,115204077,False,EndedWithSales,Free,2016-04-18T13:49:53.000Z,"Apple MacBook Pro 15.4"" Laptop with Retina Display(30% OFF!)",False,1650.0
True,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-18T13:36:31.000Z,False,False,381604663756,FixedPrice,PayPal,34461,NA,NA,True,EndedWithSales,Free,2016-04-18T13:26:16.000Z,"Apple MacBook Pro A1286 15.4"" | 2.8GHz Core 2 Duo | 8gb | 320gb | El Capitan",False,209.99
False,0,False,111422,Apple Laptops,Used,3000,US,2016-04-18T14:25:12.000Z,False,False,371603769517,Auction,PayPal,NA,NA,NA,True,EndedWithoutSales,Flat,2016-04-18T13:23:22.000Z,Apple MacBook Pro A1286 Core i7 2.00 GHz 4GB RAM 500GB HDD 48517BM,True,299.99
True,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-18T13:39:54.000Z,True,False,272216075278,StoreInventory,PayPal,30096,NA,NA,False,EndedWithoutSales,FlatDomesticCalculatedInternational,2016-04-18T13:14:17.000Z,Apple Macbook Pro 2012 A1286 2.3ghz i7 Quad Core 4gb 500gb APPLECARE!,False,784.95
True,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-18T13:23:48.000Z,True,False,191851008449,FixedPrice,PayPal,45424,ReferenceID,108796569,False,EndedWithSales,Flat,2016-04-18T13:11:05.000Z,"Apple MacBook Pro A1278 13.3"" Laptop (February, 2011) - Customized",False,700.0
False,1,True,111422,Apple Laptops,Used,3000,US,2016-04-18T13:12:42.000Z,True,False,272216066270,AuctionWithBIN,PayPal,11553,NA,NA,False,EndedWithSales,Calculated,2016-04-18T13:09:04.000Z,"Macbook Pro (13-inch, Late 2011)",False,650.0
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-18T13:09:13.000Z,True,False,291740731601,FixedPrice,PayPal,53718,NA,NA,False,EndedWithSales,Free,2016-04-18T13:08:31.000Z,Macbook Pro 13 in Mid 2012 8gb Ram 500 gb HD,False,700.0
False,1,True,111422,Apple Laptops,Used,3000,US,2016-04-18T12:59:48.000Z,True,False,121960443659,AuctionWithBIN,PayPal,77840,NA,NA,False,EndedWithSales,Calculated,2016-04-18T12:55:26.000Z,Late 2011 15-inch 4GB i7 MacBook Pro,False,1000.0
True,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-18T14:55:00.000Z,True,False,262393583820,FixedPrice,PayPal,11236,ReferenceID,219476966,False,EndedWithSales,Free,2016-04-18T12:50:04.000Z,"apple macbook pro 13"" 2015 with wireless mouse",False,1300.0
False,1,True,111422,Apple Laptops,Used,3000,US,2016-04-18T11:26:45.000Z,False,False,282008639950,AuctionWithBIN,PayPal,10013,ReferenceID,82994118,False,EndedWithSales,Calculated,2016-04-18T10:57:16.000Z,"Used 15"" MacBook Pro 6,2 , Good Quality",False,600.0
False,1,True,111422,Apple Laptops,Used,3000,PR,2016-04-18T13:32:45.000Z,True,False,182097008562,AuctionWithBIN,PayPal,NA,ReferenceID,108850048,True,EndedWithSales,Flat,2016-04-18T10:30:55.000Z,"Apple MacBook Pro A1278 13.3"" Laptop (April, 2010) - Customized",False,450.0
