Accuracy,False neg.,False pos.,ROC-AUC,Time,True neg.,True pos.
0.66,0.07,0.27,0.7211342309261527,2016-05-05 00:35:36.003100,0.16,0.5
0.66,0.07,0.27,0.7211342309261527,2016-05-05 00:35:56.004499,0.16,0.5
0.66,0.07,0.27,0.7288861689106487,2016-05-05 00:36:16.004976,0.16,0.5
0.66,0.07,0.27,0.7286821705426357,2016-05-05 00:36:36.002238,0.16,0.5
0.66,0.07,0.27,0.7286821705426357,2016-05-05 00:36:56.001477,0.16,0.5
0.66,0.07,0.27,0.7286821705426357,2016-05-05 00:37:16.003857,0.16,0.5
0.66,0.07,0.27,0.7286821705426357,2016-05-05 00:37:36.000693,0.16,0.5
0.66,0.07,0.27,0.7286821705426357,2016-05-05 00:37:56.003297,0.16,0.5
0.67,0.06,0.27,0.726642186862505,2016-05-05 00:38:16.005139,0.16,0.51
0.67,0.06,0.27,0.726642186862505,2016-05-05 00:38:36.004498,0.16,0.51
0.67,0.06,0.27,0.726642186862505,2016-05-05 00:38:56.000075,0.16,0.51
